	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
53047	1	FR	73	BY	010513	2	3	201952	218551	14351
53048	1	FR	73	BY	020714	2	1	201952	85102	167421
53049	1	FR	73	BY	020714	2	3	201952	130949	188749
53050	1	FR	73	BY	020910	2	1	201952	351382	291058
53051	1	FR	73	BY	030313	2	3	201952	57644	76484
53052	1	FR	73	BY	030399	2	3	201952	433112	400883
53053	1	FR	73	BY	030481	2	3	201952	63300	15900
53054	1	FR	73	BY	030482	2	3	201952	63965	22100
53055	1	FR	73	BY	030495	2	3	201952	60762	19520
53056	1	FR	73	BY	030499	2	3	201952	1137830	359100
53057	1	FR	73	BY	030711	2	3	201952	4509	401
53058	1	FR	73	BY	030760	1	3	201952	376606	47470
53059	1	FR	73	BY	040410	2	3	201952	187	5
53060	1	FR	73	BY	040610	2	3	201952	62347	5607
53061	1	FR	73	BY	040630	2	3	201952	5095	384
53062	1	FR	73	BY	040640	2	3	201952	67139	6200
53063	1	FR	73	BY	040690	2	1	201952	6400	1321
53064	1	FR	73	BY	040690	2	3	201952	580406	91244
53065	1	FR	73	BY	050800	1	3	201952	111527	16086
53066	1	FR	73	BY	051191	2	4	201952	29630	120
53067	1	FR	73	BY	051199	2	3	201952	420780	506708
53068	1	FR	73	BY	060290	2	3	201952	3536	560
53069	1	FR	73	BY	070110	2	3	201952	136763	191075
53070	1	FR	73	BY	070959	1	3	201952	592105	70038
53071	1	FR	73	BY	071159	1	3	201952	1019784	278945
53072	1	FR	73	BY	071290	2	3	201952	105203	4868
53073	1	FR	73	BY	071290	2	4	201952	23054	1072
53074	1	FR	73	BY	071333	2	3	201952	27302	6705
53075	1	FR	73	BY	080810	2	3	201952	57911	51003
53076	1	FR	73	BY	080830	2	3	201952	7800	6000
53077	1	FR	73	BY	080910	2	3	201952	14800	8000
53078	1	FR	73	BY	080940	2	3	201952	4805	3556
53079	1	FR	73	BY	081190	1	3	201952	112651	39060
53080	1	FR	73	BY	100191	2	3	201952	103200	55200
53081	1	FR	73	BY	100191	2	4	201952	25	50
53082	1	FR	73	BY	100210	2	3	201952	67680	75448
53083	1	FR	73	BY	100310	2	3	201952	14060	19800
53084	1	FR	73	BY	100310	2	4	201952	140	280
53085	1	FR	73	BY	100510	1	3	201952	8232	2822
53086	1	FR	73	BY	100510	2	3	201952	1475334	431317
53087	1	FR	73	BY	100510	2	4	201952	1180	387
53088	1	FR	73	BY	100590	2	4	201952	128	57
53089	1	FR	73	BY	110100	2	3	201952	16702	30940
53090	1	FR	73	BY	110290	2	3	201952	135	150
53091	1	FR	73	BY	110311	2	3	201952	17200	44000
53092	1	FR	73	BY	110710	2	3	201952	803	278
53093	1	FR	73	BY	120400	2	1	201952	195412	82520
53094	1	FR	73	BY	120400	2	3	201952	370178	182040
53095	1	FR	73	BY	120400	2	4	201952	70	34
53096	1	FR	73	BY	120510	2	3	201952	940253	112251
53097	1	FR	73	BY	120510	2	4	201952	5572	1078
53098	1	FR	73	BY	120600	2	3	201952	20277	2675
53099	1	FR	73	BY	120770	2	3	201952	42201	44
53100	1	FR	73	BY	120770	2	4	201952	1519	4
53101	1	FR	73	BY	120910	2	3	201952	128685	4768
53102	1	FR	73	BY	120910	2	4	201952	56	130
53103	1	FR	73	BY	120921	2	3	201952	1	3
53104	1	FR	73	BY	120921	2	4	201952	14	5
53105	1	FR	73	BY	120991	2	3	201952	626625	3916
53106	1	FR	73	BY	120991	2	4	201952	161021	441
53107	1	FR	73	BY	120999	2	3	201952	573	40
53108	1	FR	73	BY	120999	2	4	201952	83670	1161
53109	1	FR	73	BY	121190	2	3	201952	119	5
53110	1	FR	73	BY	121229	2	3	201952	8052	61
53111	1	FR	73	BY	130190	2	3	201952	1197	41
53112	1	FR	73	BY	130219	1	1	201952	24837	12905
53113	1	FR	73	BY	130219	1	3	201952	7757	79
53114	1	FR	73	BY	130239	2	3	201952	14147	430
53115	1	FR	73	BY	13SSS2	2	3	201952	210976	3723
53116	1	FR	73	BY	13SSS2	2	4	201952	2960	10
53117	1	FR	73	BY	140490	1	3	201952	2652	220
53118	1	FR	73	BY	140490	2	4	201952	644	23
53119	1	FR	73	BY	151530	2	3	201952	290	21
53120	1	FR	73	BY	151590	2	3	201952	7572	752
53121	1	FR	73	BY	151800	2	3	201952	299	115
53122	1	FR	73	BY	160232	2	3	201952	7054	3686
53123	1	FR	73	BY	170260	2	3	201952	662	132
53124	1	FR	73	BY	170290	2	1	201952	6958	9680
53125	1	FR	73	BY	170290	2	3	201952	19434	18283
53126	1	FR	73	BY	170490	2	3	201952	4999	1399
53127	1	FR	73	BY	17SSS0	2	3	201952	933	750
