	reporter	partner	transport	Tradelane	year	FLOW	cargo	KG	EUR	ExIm
0	AT	BY	Air	AT-BY	2018	2	10 - CEREALS	71	56	Export
1	AT	BY	Air	AT-BY	2018	2	17 - SUGARS AND SUGAR CONFECTIONERY	2	93	Export
2	AT	BY	Air	AT-BY	2018	2	25 - SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT	1	1	Export
3	AT	BY	Air	AT-BY	2018	2	48 - PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD	21	658	Export
4	AT	BY	Air	AT-BY	2018	2	56 - WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF	0	20	Export
5	AT	BY	Air	AT-BY	2018	2	84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF	7833	1075220	Export
6	AT	BY	Air	AT-BY	2018	2	 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER	19	17	Export
7	AT	BY	Air	AT-BY	2018	2	 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS	2	51	Export
8	AT	BY	Air	AT-BY	2018	2	 21 - MISCELLANEOUS EDIBLE PREPARATIONS	425	23171	Export
9	AT	BY	Air	AT-BY	2018	2	 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES	57	660	Export
10	AT	BY	Air	AT-BY	2018	2	 28 - INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES	2130	70002	Export
11	AT	BY	Air	AT-BY	2018	2	 29 - ORGANIC CHEMICALS	104	31348	Export
12	AT	BY	Air	AT-BY	2018	2	 30 - PHARMACEUTICAL PRODUCTS	3140	628640	Export
13	AT	BY	Air	AT-BY	2018	2	 32 - TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS	33	560	Export
14	AT	BY	Air	AT-BY	2018	2	 33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS	166	50821	Export
15	AT	BY	Air	AT-BY	2018	2	 34 - SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER	280	29779	Export
16	AT	BY	Air	AT-BY	2018	2	 35 - ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES	19	1765	Export
17	AT	BY	Air	AT-BY	2018	2	 38 - MISCELLANEOUS CHEMICAL PRODUCTS	2142	223807	Export
18	AT	BY	Air	AT-BY	2018	2	 39 - PLASTICS AND ARTICLES THEREOF	583	44275	Export
19	AT	BY	Air	AT-BY	2018	2	 40 - RUBBER AND ARTICLES THEREOF	285	47869	Export
20	AT	BY	Air	AT-BY	2018	2	 42 - ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)	43	2972	Export
21	AT	BY	Air	AT-BY	2018	2	 49 - PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS	295	1966	Export
22	AT	BY	Air	AT-BY	2018	2	 5 - PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED	22	9140	Export
23	AT	BY	Air	AT-BY	2018	2	 57 - CARPETS AND OTHER TEXTILE FLOOR COVERINGS	1	13	Export
24	AT	BY	Air	AT-BY	2018	2	 58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY	130	7644	Export
25	AT	BY	Air	AT-BY	2018	2	 59 - IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE	112	10424	Export
